Seconds, instMass, instFuel, Acceleration, Acceleration X, Acceleration Y, Total Speed, Speed X, Speed Y, Height, Delta X, Gravitational Acceleration
0, 2190000, 2050000, 5.927315577141051,0.0, 5.927315577141051,0.0 , 0, 0, 0, 0, 9.826109080393195
1, 2180000.0, 2040000.0, 6.129256455938073,1.5903687223049618, 5.9193337488076,5.927315577141051 , 0.0, 5.927315577141051, 0.0, 0.0, 9.826109080393195
2, 2170000.0, 2030000.0, 6.203417519435854,1.6135490458986574, 5.989895524708525,11.952923195808024 , 1.5903687223049618, 11.84664932594865, 5.927315577141051, 0.7951843611524809, 9.82609079680565
3, 2160000.0, 2020000.0, 6.2780054126014235,1.637068639749228, 6.060805080960977,18.12201482382453 , 3.2039177682036195, 17.836544850657177, 17.773964903089702, 3.192327606406771, 9.826054254404474
4, 2150000.0, 2010000.0, 6.353017292428383,1.6609317978686557, 6.132057915636712,24.382749704579965 , 4.8409864079528475, 23.89734993161815, 35.61050975374688, 7.214779694485005, 9.825999235841465
5, 2140000.0, 2000000.0, 6.428451149077413,1.6851429975646919, 6.203650316856472,30.72523842075054 , 6.501918205821504, 30.029407847254863, 59.507859685365034, 12.88623200137218, 9.825925522858094
6, 2130000.0, 1990000.0, 6.504305878438821,1.709706797777108, 6.275579465350474,37.14650017258512 , 8.187061203386195, 36.233058164111334, 89.5372675326199, 20.230721705976027, 9.825832896305638
7, 2120000.0, 1980000.0, 6.580581408092288,1.7346280553751736, 6.347843506107821,43.64550709960587 , 9.896768001163302, 42.50863762946181, 125.77032569673122, 29.272636308250778, 9.82572113616298
8, 2110000.0, 1970000.0, 6.657278739771714,1.759911615498821, 6.420441676757822,50.221958575650255 , 11.631396056538476, 48.85648113556963, 168.27896332619304, 40.03671833710166, 9.825590021551795
9, 2100000.0, 1960000.0, 6.734400097237955,1.7855626558749238, 6.493374367124036,56.87587640438758 , 13.391307672037296, 55.276922812327456, 217.13544446176266, 52.54807020138955, 9.825439330748843
